No,Nama Barang,Harga Pasaran (Rp),Harga Jual (Rp),Selisih (Rp),Persentase Markup (%),Kategori Markup
336,Body Lotion Bath & Body Works,341906,366670,24764,7.2,Normal
337,Truffle Hitam 50g,1195634,1383518,187884,15.7,Normal
338,VIP Keripik Kentang Lays Original 75g,46176,228637,182461,395.1,MARKUP GILA-GILAAN ⚠️
339,Raket Badminton Yonex Astrox 99,3308013,4039839,731826,22.1,Normal
340,DJI Mini 4 Pro Drone,10552490,11897710,1345220,12.7,Normal
341,Kondisioner Moroccanoil 250ml,321501,351454,29953,9.3,Normal
342,Sepatu Formal Clarks Desert Boot,1854513,2083264,228751,12.3,Normal
343,Pelembab Cetaphil 250ml,141180,166485,25305,17.9,Normal
344,Organic Penggaris 30cm plastik,19637,146087,126450,643.9,MARKUP GILA-GILAAN ⚠️
345,VIP Tisu Makan Premium 200 lembar,44860,191762,146902,327.5,MARKUP GILA-GILAAN ⚠️
346,Shampo Kerastase Bain Satin 250ml,345126,403894,58768,17.0,Normal
347,Kamus Bahasa Inggris Oxford Advanced,255911,290473,34562,13.5,Normal
348,Luxury Cokelat KitKat 4 finger,36577,507239,470662,1286.8,MARKUP GILA-GILAAN ⚠️
349,Canon EOS R6 Mark II,36558865,40485232,3926367,10.7,Normal
350,Ultra Kapas Kecantikan biasa 100pcs,40422,299197,258775,640.2,MARKUP GILA-GILAAN ⚠️
351,Cover Mobil All New Silver,495439,558249,62810,12.7,Normal
352,Realme GT5 Pro,7857135,9679464,1822329,23.2,Normal
353,Organic Pulpen Pilot G2 0.5mm,76777,874695,797918,1039.3,MARKUP GILA-GILAAN ⚠️
354,Kondisioner Moroccanoil 250ml,333796,371783,37987,11.4,Normal
355,Masker Rambut Olaplex No.8 100ml,375590,397482,21892,5.8,Normal
356,Router WiFi 6 ASUS AX6000,3495487,3920258,424771,12.2,Normal
357,Buku The Psychology of Money,93016,97976,4960,5.3,Normal
358,Pasta Barilla Linguine 500g,45967,48769,2802,6.1,Normal
359,Eyeshadow Palette Urban Decay Naked,846900,923082,76182,9.0,Normal
360,Portable Charger Anker 26800mAh,609346,711725,102379,16.8,Normal
361,Oli Mesin Castrol Edge 5W-40 4L,277377,321769,44392,16.0,Normal
362,Protein Whey Optimum Nutrition 5lb,764177,852805,88628,11.6,Normal
363,Special Pulpen Pilot G2 0.5mm,52684,816255,763571,1449.3,MARKUP GILA-GILAAN ⚠️
364,Buku Thinking Fast and Slow,105009,110806,5797,5.5,Normal
365,Gold Edition Cokelat KitKat 4 finger,3290,15381,12091,367.5,MARKUP GILA-GILAAN ⚠️
366,SSD Samsung 980 Pro 2TB,2820121,3387998,567877,20.1,Normal
367,Tas Louis Vuitton Neverfull MM,34536211,40997953,6461742,18.7,Normal
368,Mesin Espresso De'Longhi La Specialista,11481449,13977284,2495835,21.7,Normal
369,Ultra Hand Sanitizer 100ml,24226,119619,95393,393.8,MARKUP GILA-GILAAN ⚠️
370,Mesin Espresso De'Longhi La Specialista,11865468,14215623,2350155,19.8,Normal
371,Kacamata Rayban Wayfarer,2569958,2883013,313055,12.2,Normal
372,Serum Rambut Pantene 70ml,89114,110999,21885,24.6,Normal
373,Kacamata Rayban Wayfarer,2377675,2769554,391879,16.5,Normal
374,Toaster Oven Breville BOV900BSS,5253657,6199931,946274,18.0,Normal
375,Lipstik Charlotte Tilbury Pillowtalk,466803,562634,95831,20.5,Normal
376,Ikat Pinggang Hermes,11732276,14426189,2693913,23.0,Normal
377,Premium Minuman Teh Kotak 200ml,25890,237041,211151,815.6,MARKUP GILA-GILAAN ⚠️
378,Helm Sepeda Giro Aether MIPS,4623073,5723036,1099963,23.8,Normal
379,Ikat Pinggang Hermes,12370506,13320107,949601,7.7,Normal
380,Blender Vitamix 5200,6272373,7510482,1238109,19.7,Normal
381,Gloves Boxing Everlast Pro Style,488020,577718,89698,18.4,Normal
382,GoPro Hero 12 Black,5977507,6989000,1011493,16.9,Normal
383,Deodorant Dove Original 150ml,42863,45495,2632,6.1,Normal
384,Artisan Cotton Bud biasa 200pcs,16530,71683,55153,333.7,MARKUP GILA-GILAAN ⚠️
385,Blender Vitamix 5200,5796288,6769987,973699,16.8,Normal
386,Canon EOS R6 Mark II,38765865,44370102,5604237,14.5,Normal
387,Luxury Penggaris 30cm plastik,40318,443004,402686,998.8,MARKUP GILA-GILAAN ⚠️
388,Deodorant Dove Original 150ml,43078,50233,7155,16.6,Normal
389,Celana Jeans Levi's 501,878154,949415,71261,8.1,Normal
390,Limited Beras Putih Premium 1kg,61885,569565,507680,820.4,MARKUP GILA-GILAAN ⚠️
391,Karpet Mobil Universal All New,362462,397655,35193,9.7,Normal
392,Special Garam Himalaya 500g,66695,893071,826376,1239.0,MARKUP GILA-GILAAN ⚠️
393,Earphone TWS Sony WF-1000XM5,3448821,4141885,693064,20.1,Normal
394,Portable Charger Anker 26800mAh,587846,658486,70640,12.0,Normal
395,Artisan Sabun Cuci Piring biasa 800ml,60775,501184,440409,724.7,MARKUP GILA-GILAAN ⚠️
396,VIP Pulpen Pilot G2 0.5mm,48197,207445,159248,330.4,MARKUP GILA-GILAAN ⚠️
397,VIP Garam Himalaya 500g,38676,386031,347355,898.1,MARKUP GILA-GILAAN ⚠️
398,Luxury Minuman Teh Kotak 200ml,39528,201109,161581,408.8,MARKUP GILA-GILAAN ⚠️
399,Earphone TWS Sony WF-1000XM5,3596915,4071299,474384,13.2,Normal
400,Sepatu Nike Air Jordan 1 High,2573931,2846584,272653,10.6,Normal
401,Shampo Kerastase Bain Satin 250ml,365041,437406,72365,19.8,Normal
402,Sneakers New Balance 990v6,2764713,3062847,298134,10.8,Normal
403,Mesin Espresso De'Longhi La Specialista,12358098,13533554,1175456,9.5,Normal
404,Limited Air Kelapa kemasan 330ml,32593,471407,438814,1346.3,MARKUP GILA-GILAAN ⚠️
405,Limited Kantong Plastik 'Eco' 1 pack,44394,448838,404444,911.0,MARKUP GILA-GILAAN ⚠️
406,Gold Edition Obat Paracetamol 500mg strip,50048,798208,748160,1494.9,MARKUP GILA-GILAAN ⚠️
407,Premium Sabun Cuci Piring biasa 800ml,16184,233741,217557,1344.3,MARKUP GILA-GILAAN ⚠️
408,Truffle Hitam 50g,1229152,1493683,264531,21.5,Normal
409,Ultra Air Mineral Premium 500ml,64245,880146,815901,1270.0,MARKUP GILA-GILAAN ⚠️
410,Luxury Selotip bening 1 roll,28111,312145,284034,1010.4,MARKUP GILA-GILAAN ⚠️
411,Exclusive Keripik Kentang Lays Original 75g,26493,210335,183842,693.9,MARKUP GILA-GILAAN ⚠️
412,VIP Garam Himalaya 500g,67061,665084,598023,891.8,MARKUP GILA-GILAAN ⚠️
413,Organic Selotip bening 1 roll,6868,40069,33201,483.4,MARKUP GILA-GILAAN ⚠️
414,Mesin Espresso De'Longhi La Specialista,11944625,13554868,1610243,13.5,Normal
415,Mesin Cuci Samsung Front Load 9kg,5615304,5925279,309975,5.5,Normal
416,DJI Mini 4 Pro Drone,10988254,12868644,1880390,17.1,Normal
417,Ultra Lem Kertas UHU 21g,7986,125440,117454,1470.7,MARKUP GILA-GILAAN ⚠️
418,Exclusive Hand Sanitizer 100ml,38043,233084,195041,512.7,MARKUP GILA-GILAAN ⚠️
419,Treadmill NordicTrack Commercial 2950,27167613,33735696,6568083,24.2,Normal
420,MacBook Pro M3 14 inch,29107199,31963636,2856437,9.8,Normal
421,iPhone 15 Pro Max 256GB,22268154,24238743,1970589,8.8,Normal
422,Kompor Tanam Rinnai 4 Tungku,3662955,4276415,613460,16.7,Normal
423,Deodorant Dove Original 150ml,43970,54857,10887,24.8,Normal
424,Ikat Pinggang Hermes,11468280,13415938,1947658,17.0,Normal
425,Kondisioner Moroccanoil 250ml,334251,401930,67679,20.2,Normal
426,Samsung Galaxy S24 Ultra,17789074,21842486,4053412,22.8,Normal
427,Kompor Tanam Rinnai 4 Tungku,3598584,4476325,877741,24.4,Normal
428,Gold Edition Lem Kertas UHU 21g,70748,466430,395682,559.3,MARKUP GILA-GILAAN ⚠️
429,Water Purifier Coway AP-1512HH,3099865,3481461,381596,12.3,Normal
430,Coffee Maker Nespresso Vertuo Next,2284253,2537962,253709,11.1,Normal
431,GPU NVIDIA RTX 4080,17166933,18610504,1443571,8.4,Normal
432,Kacamata Rayban Wayfarer,2579700,2819010,239310,9.3,Normal
433,Gold Edition Air Kelapa kemasan 330ml,70451,550431,479980,681.3,MARKUP GILA-GILAAN ⚠️
434,Keyboard Mechanical Keychron Q1,2188526,2365168,176642,8.1,Normal
435,Granola Organic Uncle Tobys 500g,93673,107076,13403,14.3,Normal
436,Granola Organic Uncle Tobys 500g,97646,117216,19570,20.0,Normal
437,Serum Rambut Pantene 70ml,83878,90536,6658,7.9,Normal
438,iPad Pro 12.9 inch M2,18463336,22318448,3855112,20.9,Normal
439,Madu Manuka UMF 20+ 500g,848756,1005413,156657,18.5,Normal
440,Ban Bridgestone Ecopia 195/65 R15,925874,1045759,119885,12.9,Normal
441,Mascara Maybelline Volum Express,156445,181907,25462,16.3,Normal
442,Organic Buku Tulis A5 biasa,6556,77842,71286,1087.3,MARKUP GILA-GILAAN ⚠️
443,Limited Tisu Makan Premium 200 lembar,54356,748083,693727,1276.3,MARKUP GILA-GILAAN ⚠️
444,Limited Air Mineral Premium 500ml,26486,242132,215646,814.2,MARKUP GILA-GILAAN ⚠️
445,Parfum Chanel No. 5 100ml,3560616,3965856,405240,11.4,Normal
446,Syal Burberry Classic Check,4775550,5515677,740127,15.5,Normal
447,Krim Malam La Mer Moisturizing 60ml,4579424,5354180,774756,16.9,Normal
448,Xbox Series X,7931420,8846081,914661,11.5,Normal
449,Portable Charger Anker 26800mAh,620454,714873,94419,15.2,Normal
450,Sabun Muka CeraVe Hydrating Cleanser,177174,203700,26526,15.0,Normal
451,Premium Pulpen Pilot G2 0.5mm,54622,777261,722639,1323.0,MARKUP GILA-GILAAN ⚠️
452,Dashcam Viofo A129 Pro Duo,2274375,2746796,472421,20.8,Normal
453,Parfum Dior Sauvage 100ml,2922287,3214445,292158,10.0,Normal
454,Artisan Keripik Kentang Lays Original 75g,40256,594042,553786,1375.7,MARKUP GILA-GILAAN ⚠️
455,Blender Vitamix 5200,6181920,6875242,693322,11.2,Normal
456,Selai Kacang Skippy Chunky 462g,85604,104228,18624,21.8,Normal
457,DJI Mini 4 Pro Drone,10982152,12405606,1423454,13.0,Normal
458,Buku Sapiens Yuval Noah Harari,114196,137088,22892,20.0,Normal
459,OPPO Find X7 Ultra,14706409,16676526,1970117,13.4,Normal
460,Jam Tangan Casio G-Shock GA700,1209889,1333485,123596,10.2,Normal
461,AC Daikin Inverter 1.5 PK,5307110,6489908,1182798,22.3,Normal
462,Saus Truffle Urbani 180g,349742,413338,63596,18.2,Normal
463,Realme GT5 Pro,8369234,9589045,1219811,14.6,Normal
464,Buku Matematika Kumon Grade 7,64264,74705,10441,16.2,Normal
465,Hoodie Supreme Box Logo,8181416,9974899,1793483,21.9,Normal
466,Mascara Maybelline Volum Express,145389,159386,13997,9.6,Normal
467,Micellar Water Bioderma 500ml,209323,222024,12701,6.1,Normal
468,Masker Rambut Olaplex No.8 100ml,368083,445000,76917,20.9,Normal
469,SSD Samsung 980 Pro 2TB,2724312,3258698,534386,19.6,Normal
470,Toner Some By Mi AHA BHA PHA,186072,211332,25260,13.6,Normal
471,Mascara Maybelline Volum Express,142595,172799,30204,21.2,Normal
472,Parfum Mobil Areon Mon Black Crystal,116817,142886,26069,22.3,Normal
473,Kacamata Rayban Wayfarer,2596838,2775882,179044,6.9,Normal
474,Dell XPS 15 9530,25010663,27503699,2493036,10.0,Normal
475,Ultra Sabun Cuci Piring biasa 800ml,14649,159844,145195,991.2,MARKUP GILA-GILAAN ⚠️
476,Sepatu Nike Air Jordan 1 High,2478062,2914764,436702,17.6,Normal
477,Robot Vacuum Cleaner Roomba j7+,8423431,10472385,2048954,24.3,Normal
478,Oli Mesin Castrol Edge 5W-40 4L,269520,286446,16926,6.3,Normal
479,Organic Hand Sanitizer 100ml,20044,189826,169782,847.0,MARKUP GILA-GILAAN ⚠️
480,Router WiFi 6 ASUS AX6000,3655688,4396690,741002,20.3,Normal
481,Gold Edition Cokelat KitKat 4 finger,50846,725505,674659,1326.9,MARKUP GILA-GILAAN ⚠️
482,Organic Hand Sanitizer 100ml,37093,225947,188854,509.1,MARKUP GILA-GILAAN ⚠️
483,Celana Jeans Levi's 501,881225,1090362,209137,23.7,Normal
484,Samsung Galaxy S24 Ultra,17953524,20451769,2498245,13.9,Normal
485,VIP Air Kelapa kemasan 330ml,45136,625592,580456,1286.0,MARKUP GILA-GILAAN ⚠️
486,Sepatu Adidas Ultraboost 23,2234112,2451515,217403,9.7,Normal
487,Laptop Lenovo ThinkPad X1 Carbon,27982334,34638189,6655855,23.8,Normal
488,Keyboard Mechanical Keychron Q1,2292171,2462305,170134,7.4,Normal
489,Dashcam Viofo A129 Pro Duo,2308327,2564472,256145,11.1,Normal
490,Mesin Espresso De'Longhi La Specialista,11865688,13631769,1766081,14.9,Normal
491,Organic Masker medis 3 ply 50pcs,10944,79309,68365,624.7,MARKUP GILA-GILAAN ⚠️
492,Alarm Mobil Clifford 350X,1875633,2129666,254033,13.5,Normal
493,Cokelat Valrhona 70% 1kg,445825,503502,57677,12.9,Normal
494,Mixer KitchenAid Artisan 4.8L,9428211,10961723,1533512,16.3,Normal
495,Router WiFi 6 ASUS AX6000,3396564,3699794,303230,8.9,Normal
496,Keyboard Mechanical Keychron Q1,2190219,2568905,378686,17.3,Normal
497,Toner Some By Mi AHA BHA PHA,178978,192002,13024,7.3,Normal
498,Organic Lem Kertas UHU 21g,8071,63156,55085,682.5,MARKUP GILA-GILAAN ⚠️
499,Buku Zero to One Peter Thiel,89957,98609,8652,9.6,Normal
500,Gloves Boxing Everlast Pro Style,514505,552646,38141,7.4,Normal
501,PlayStation 5 Digital Edition,8177754,8882920,705166,8.6,Normal
502,Gold Edition Cotton Bud biasa 200pcs,77057,969499,892442,1158.2,MARKUP GILA-GILAAN ⚠️
503,Masker Rambut Olaplex No.8 100ml,381322,453236,71914,18.9,Normal
504,Foundation MAC Studio Fix Fluid,555094,645076,89982,16.2,Normal
505,SSD Samsung 980 Pro 2TB,2887343,3355626,468283,16.2,Normal
506,Whisky Johnnie Walker Blue Label,1493686,1737027,243341,16.3,Normal
507,Parfum Chanel No. 5 100ml,3540872,3945181,404309,11.4,Normal
508,Water Purifier Coway AP-1512HH,3275260,3872198,596938,18.2,Normal
509,Luxury Buku Tulis A5 biasa,15043,173858,158815,1055.7,MARKUP GILA-GILAAN ⚠️
510,iPhone 15 Pro Max 256GB,21553001,25366925,3813924,17.7,Normal
511,Parfum Mobil Areon Mon Black Crystal,119751,143277,23526,19.6,Normal
512,Tas Louis Vuitton Neverfull MM,35097023,40893624,5796601,16.5,Normal
513,Special Obat Paracetamol 500mg strip,63361,937411,874050,1379.5,MARKUP GILA-GILAAN ⚠️
514,Hoodie Supreme Box Logo,7993216,9071357,1078141,13.5,Normal
515,Gold Edition Beras Putih Premium 1kg,9092,135156,126064,1386.5,MARKUP GILA-GILAAN ⚠️
516,Gold Edition Buku Tulis A5 biasa,28757,369685,340928,1185.5,MARKUP GILA-GILAAN ⚠️
517,Ikat Pinggang Hermes,11721335,14065210,2343875,20.0,Normal
518,GoPro Hero 12 Black,5837270,6623830,786560,13.5,Normal
519,Sepatu Running Brooks Ghost 15,1993890,2233817,239927,12.0,Normal
520,Body Lotion Bath & Body Works,343727,373263,29536,8.6,Normal
521,Champagne Moet & Chandon 750ml,906677,976004,69327,7.6,Normal
522,Kopi Luwak Premium 200g,366216,413796,47580,13.0,Normal
523,Kacamata Rayban Wayfarer,2564871,2893470,328599,12.8,Normal
524,Buku Thinking Fast and Slow,105605,122211,16606,15.7,Normal
525,Buku Matematika Kumon Grade 7,65287,73459,8172,12.5,Normal
526,Organic Obat Paracetamol 500mg strip,10323,152551,142228,1377.8,MARKUP GILA-GILAAN ⚠️
527,Gold Edition Garam Himalaya 500g,66942,539126,472184,705.4,MARKUP GILA-GILAAN ⚠️
528,Truffle Hitam 50g,1227470,1396085,168615,13.7,Normal
529,Blush On NARS Orgasm,463269,530604,67335,14.5,Normal
530,Earphone TWS Sony WF-1000XM5,3521714,4276428,754714,21.4,Normal
531,Exclusive Selotip bening 1 roll,62697,668312,605615,965.9,MARKUP GILA-GILAAN ⚠️
532,Samsung 65 inch QLED TV,15995327,18076921,2081594,13.0,Normal
533,Sepeda Statis Peloton Bike+,23813223,28229044,4415821,18.5,Normal
534,Tas Gucci Marmont,27343275,33203658,5860383,21.4,Normal
535,Alarm Mobil Clifford 350X,1762450,1965901,203451,11.5,Normal
536,Body Lotion Bath & Body Works,357227,401068,43841,12.3,Normal
537,Teh Darjeeling FTGFOP1 100g,289284,351289,62005,21.4,Normal
538,Kaos Uniqlo UT Collab,251177,283430,32253,12.8,Normal
539,Foundation MAC Studio Fix Fluid,555580,588818,33238,6.0,Normal
540,Gold Edition Air Mineral Premium 500ml,58208,356726,298518,512.8,MARKUP GILA-GILAAN ⚠️
541,DJI Mini 4 Pro Drone,11315628,14124470,2808842,24.8,Normal
542,Organic Masker medis 3 ply 50pcs,6542,36757,30215,461.9,MARKUP GILA-GILAAN ⚠️
543,Baju Renang Speedo Fastskin,830801,1010062,179261,21.6,Normal
544,Parfum Mobil Areon Mon Black Crystal,120436,145915,25479,21.2,Normal
545,Sepatu Vans Old Skool,831570,885335,53765,6.5,Normal
546,Mascara Maybelline Volum Express,146359,178703,32344,22.1,Normal
547,Helm Sepeda Giro Aether MIPS,4372702,4939630,566928,13.0,Normal
548,Truffle Hitam 50g,1229673,1366614,136941,11.1,Normal
549,Ultra Sabun Cuci Piring biasa 800ml,20563,122622,102059,496.3,MARKUP GILA-GILAAN ⚠️
550,Karpet Mobil Universal All New,349042,374449,25407,7.3,Normal
551,Helm Sepeda Giro Aether MIPS,4454218,5284614,830396,18.6,Normal
552,Celana Jeans Levi's 501,881786,974204,92418,10.5,Normal
553,Special Hand Sanitizer 100ml,20881,217505,196624,941.6,MARKUP GILA-GILAAN ⚠️
554,Kemeja Polo Ralph Lauren,1549069,1900110,351041,22.7,Normal
555,Organic Cotton Bud biasa 200pcs,75111,757736,682625,908.8,MARKUP GILA-GILAAN ⚠️
556,Kacamata Rayban Wayfarer,2597458,3135878,538420,20.7,Normal
557,Buku Masak Gordon Ramsay Ultimate Cookery,447063,496593,49530,11.1,Normal
558,GPU NVIDIA RTX 4080,17566187,19734690,2168503,12.3,Normal
559,Dashcam Viofo A129 Pro Duo,2272338,2655256,382918,16.9,Normal
560,Foundation MAC Studio Fix Fluid,606301,755523,149222,24.6,Normal
561,Sabun Muka CeraVe Hydrating Cleanser,193674,211523,17849,9.2,Normal
562,Special Kantong Plastik 'Eco' 1 pack,32221,246580,214359,665.3,MARKUP GILA-GILAAN ⚠️
563,Dompet Coach Crossgrain Leather,2145860,2582765,436905,20.4,Normal
564,Microwave Sharp 27L,1218075,1313962,95887,7.9,Normal
565,VIP Air Mineral Premium 500ml,13948,205003,191055,1369.8,MARKUP GILA-GILAAN ⚠️
566,GPU NVIDIA RTX 4080,17693284,19308360,1615076,9.1,Normal
567,Organic Selotip bening 1 roll,14868,228268,213400,1435.3,MARKUP GILA-GILAAN ⚠️
568,Mascara Maybelline Volum Express,153843,177039,23196,15.1,Normal
569,RAM Corsair Vengeance 32GB DDR5,2566158,2810584,244426,9.5,Normal
570,MacBook Pro M3 14 inch,30572796,35676713,5103917,16.7,Normal
571,DJI Mini 4 Pro Drone,11482135,12453533,971398,8.5,Normal
572,Toner Some By Mi AHA BHA PHA,183657,228794,45137,24.6,Normal
573,Sneakers New Balance 990v6,2832756,3181672,348916,12.3,Normal
574,iPad Pro 12.9 inch M2,17599456,21981014,4381558,24.9,Normal
575,Buku Matematika Kumon Grade 7,67511,78836,11325,16.8,Normal
576,PlayStation 5 Digital Edition,8504401,9649980,1145579,13.5,Normal
577,Parfum Dior Sauvage 100ml,2728905,3029512,300607,11.0,Normal
578,Robot Vacuum Cleaner Roomba j7+,8673709,10819800,2146091,24.7,Normal
579,Raket Badminton Yonex Astrox 99,3093139,3751799,658660,21.3,Normal
580,Whisky Johnnie Walker Blue Label,1506270,1749502,243232,16.1,Normal
581,Organic Selotip bening 1 roll,12599,159816,147217,1168.5,MARKUP GILA-GILAAN ⚠️
582,Exclusive Tisu Makan Premium 200 lembar,22313,185857,163544,733.0,MARKUP GILA-GILAAN ⚠️
583,Artisan Kapas Kecantikan biasa 100pcs,21142,124398,103256,488.4,MARKUP GILA-GILAAN ⚠️
584,Truffle Hitam 50g,1171927,1324848,152921,13.0,Normal
585,AC Daikin Inverter 1.5 PK,5649318,6214370,565052,10.0,Normal
586,Gold Edition Beras Putih Premium 1kg,51762,361662,309900,598.7,MARKUP GILA-GILAAN ⚠️
587,Mesin Cuci Samsung Front Load 9kg,5358500,6411778,1053278,19.7,Normal
588,Ultra Hand Sanitizer 100ml,19872,225601,205729,1035.3,MARKUP GILA-GILAAN ⚠️
589,Microwave Sharp 27L,1227427,1524389,296962,24.2,Normal
590,Microwave Sharp 27L,1244000,1467894,223894,18.0,Normal
591,Portable Charger Anker 26800mAh,570096,645647,75551,13.3,Normal
592,Apple Watch Series 9,7355509,8451948,1096439,14.9,Normal
593,AC Daikin Inverter 1.5 PK,5475748,6730478,1254730,22.9,Normal
594,Special Minuman Teh Kotak 200ml,26068,162691,136623,524.1,MARKUP GILA-GILAAN ⚠️
595,Earphone TWS Sony WF-1000XM5,3641778,4050299,408521,11.2,Normal
596,Granola Organic Uncle Tobys 500g,93208,113508,20300,21.8,Normal
597,Special Buku Tulis A5 biasa,47490,226115,178625,376.1,MARKUP GILA-GILAAN ⚠️
598,Special Buku Tulis A5 biasa,11195,140241,129046,1152.7,MARKUP GILA-GILAAN ⚠️
599,Sepatu Vans Old Skool,881554,1016548,134994,15.3,Normal
600,Body Lotion Bath & Body Works,342242,409204,66962,19.6,Normal
601,GPU NVIDIA RTX 4080,17991699,20148566,2156867,12.0,Normal
602,Krim Malam La Mer Moisturizing 60ml,4691513,5814781,1123268,23.9,Normal
603,Matras Yoga Manduka PRO 6mm,1712926,2088366,375440,21.9,Normal
604,Gold Edition Minuman Teh Kotak 200ml,61981,477448,415467,670.3,MARKUP GILA-GILAAN ⚠️
605,Gold Edition Cokelat KitKat 4 finger,4316,22196,17880,414.3,MARKUP GILA-GILAAN ⚠️
606,Wagyu A5 Beef 300g,771308,853955,82647,10.7,Normal
607,Blush On NARS Orgasm,475726,583272,107546,22.6,Normal
608,Caviar Beluga 30g,2763887,3240393,476506,17.2,Normal
609,Apple Watch Series 9,7313757,8953138,1639381,22.4,Normal
610,AC Daikin Inverter 1.5 PK,5655352,6160136,504784,8.9,Normal
611,Processor Intel Core i9-14900K,9415169,11213701,1798532,19.1,Normal
612,Special Tisu Makan Premium 200 lembar,13153,95527,82374,626.3,MARKUP GILA-GILAAN ⚠️
613,Keyboard Mechanical Keychron Q1,2158836,2497472,338636,15.7,Normal
614,Masker Rambut Olaplex No.8 100ml,378741,404561,25820,6.8,Normal
615,Ultra Garam Himalaya 500g,14369,71223,56854,395.7,MARKUP GILA-GILAAN ⚠️
616,Special Sabun Cuci Piring biasa 800ml,3661,51857,48196,1316.5,MARKUP GILA-GILAAN ⚠️
617,Gold Edition Selotip bening 1 roll,67052,607604,540552,806.2,MARKUP GILA-GILAAN ⚠️
618,Buku Atomic Habits James Clear,99135,109012,9877,10.0,Normal
619,Gloves Boxing Everlast Pro Style,494516,584354,89838,18.2,Normal
620,Mixer KitchenAid Artisan 4.8L,9711730,11959053,2247323,23.1,Normal
621,Ikat Pinggang Hermes,12361335,13323370,962035,7.8,Normal
622,SSD Samsung 980 Pro 2TB,2801522,3143290,341768,12.2,Normal
623,Cover Mobil All New Silver,502036,625916,123880,24.7,Normal
624,Ikat Pinggang Hermes,11816292,13748606,1932314,16.4,Normal
625,Baju Batik Danar Hadi Premium,763708,906691,142983,18.7,Normal
626,Sony WH-1000XM5 Headphone,4417242,5346530,929288,21.0,Normal
627,Artisan Beras Putih Premium 1kg,62479,841477,778998,1246.8,MARKUP GILA-GILAAN ⚠️
628,Masker Rambut Olaplex No.8 100ml,398175,428818,30643,7.7,Normal
629,Helm Sepeda Giro Aether MIPS,4524573,5028049,503476,11.1,Normal
630,Monitor LG UltraWide 34 inch,7915151,9373426,1458275,18.4,Normal
631,Buku Masak Gordon Ramsay Ultimate Cookery,459049,561527,102478,22.3,Normal
632,Kopi Luwak Premium 200g,365891,425690,59799,16.3,Normal
633,Madu Manuka UMF 20+ 500g,851914,1054682,202768,23.8,Normal
634,Blender Vitamix 5200,6276213,7588162,1311949,20.9,Normal
635,Keju Parmigiano Reggiano 500g,377827,398909,21082,5.6,Normal
636,Special Air Kelapa kemasan 330ml,60183,892248,832065,1382.6,MARKUP GILA-GILAAN ⚠️
637,Buku Matematika Kumon Grade 7,65345,74889,9544,14.6,Normal
638,Mixer KitchenAid Artisan 4.8L,9648879,11460348,1811469,18.8,Normal
639,Kamus Bahasa Inggris Oxford Advanced,239437,298032,58595,24.5,Normal
640,Ikat Pinggang Hermes,12140625,13252757,1112132,9.2,Normal
641,Pasta Barilla Linguine 500g,46100,49307,3207,7.0,Normal
642,Micellar Water Bioderma 500ml,213627,231875,18248,8.5,Normal
643,Syal Burberry Classic Check,4985987,5917794,931807,18.7,Normal
644,Gold Edition Kapas Kecantikan biasa 100pcs,9188,119189,110001,1197.2,MARKUP GILA-GILAAN ⚠️
645,Pelumas Rem Ate Brake Fluid DOT4,82383,95554,13171,16.0,Normal
646,Serum Vitamin C Skinceuticals CE Ferulic,2280384,2776431,496047,21.8,Normal
647,Toaster Oven Breville BOV900BSS,5259746,5889546,629800,12.0,Normal
648,Mesin Cuci Samsung Front Load 9kg,5400044,6347990,947946,17.6,Normal
649,Sepatu Formal Clarks Desert Boot,1778969,1938308,159339,9.0,Normal
650,Foundation MAC Studio Fix Fluid,589536,687930,98394,16.7,Normal
651,Special Cotton Bud biasa 200pcs,48553,654207,605654,1247.4,MARKUP GILA-GILAAN ⚠️
652,Mesin Espresso De'Longhi La Specialista,12581972,14058372,1476400,11.7,Normal
653,Deodorant Dove Original 150ml,42987,52337,9350,21.8,Normal
654,Kondisioner Moroccanoil 250ml,331948,401155,69207,20.8,Normal
655,Celana Jeans Levi's 501,887168,979942,92774,10.5,Normal
656,Canon EOS R6 Mark II,36274284,44061698,7787414,21.5,Normal
657,Nintendo Switch OLED,4542730,4944281,401551,8.8,Normal
658,VIP Cotton Bud biasa 200pcs,51997,695124,643127,1236.9,MARKUP GILA-GILAAN ⚠️
659,Kamus Bahasa Inggris Oxford Advanced,247887,278737,30850,12.4,Normal
660,Dell XPS 15 9530,25803558,27299131,1495573,5.8,Normal
661,GPU NVIDIA RTX 4080,18582044,21879783,3297739,17.7,Normal
662,Jam Tangan Casio G-Shock GA700,1141047,1229023,87976,7.7,Normal
663,Samsung 65 inch QLED TV,15896986,19380781,3483795,21.9,Normal
664,GPS Tracker Concox GT06N,437400,465509,28109,6.4,Normal
665,Celana Jeans Levi's 501,889555,1005534,115979,13.0,Normal
666,RAM Corsair Vengeance 32GB DDR5,2435964,2964893,528929,21.7,Normal
667,Blender Vitamix 5200,6033780,6602509,568729,9.4,Normal
668,Apple Watch Series 9,7318963,8660572,1341609,18.3,Normal
669,VIP Hand Sanitizer 100ml,49671,416027,366356,737.6,MARKUP GILA-GILAAN ⚠️
670,Buku Zero to One Peter Thiel,87005,92233,5228,6.0,Normal
671,Masker Rambut Olaplex No.8 100ml,387016,470012,82996,21.4,Normal
